11.463258	0.931157	0.037037	0.979525
16.393275	0.906123	0.074627	0.958938
11.678928	0.934534	0.028986	0.968268
12.577538	0.849889	0.123457	0.915701
13.751941	0.875258	0.097143	0.926186
14.67907	0.882012	0.072626	0.942273
17.327602	0.840649	0.104072	0.915455
17.009638	0.915229	0.034826	0.943531
13.603697	0.920143	0.094118	0.943531
15.509597	0.893662	0.032609	0.957854
8.518562	0.857603	0.092593	0.948415
12.841387	0.79948		0.120482	0.91109
13.740594	0.929781	0.086705	0.944857
11.005096	0.86188		0.066667	0.94076
16.729957	0.864029	0.099526	0.921009
17.864976	0.751619	0.100437	0.960538
14.198366	0.731915	0.160622	0.970406
9.963738	0.876669	0.057851	0.970149
9.809925	0.805916	0.080645	0.943679
14.006198	0.904393	0.024096	0.964818
20.376385	0.953512	0.012658	0.96929
8.170431	0.817173	0.078431	0.950935
