19.779191	0.792584	0.077551	0.931526
17.748919	0.868672	0.136752	0.940092
12.445081	0.864552	0.040541	0.959466
15.905544	0.939273	0.026738	0.949291
17.577834	0.840106	0.144068	0.899167
19.086939	0.842235	0.07234	0.952264
15.393513	0.913115	0.022472	0.933191
13.356376	0.821202	0.114943	0.948197
14.269591	0.933359	0.063584	0.944274
11.849626	0.930019	0.042857	0.973063
14.866476	0.940896	0.044944	0.953423
11.298803	0.897068	0.029851	0.970678
14.70561	0.929318	-0.024096	0.956545
17.937946	0.92414	0.023697	0.965948
12.150199	0.903856	0.092105	0.950079
18.445936	0.850562	0.054054	0.964818
16.394465	0.860873	0.065327	0.945452
13.187441	0.915695	0.006623	0.950448
18.898056	0.938967	0.040359	0.951086
18.030095	0.884251	0.059361	0.93271
12.845942	0.899575	0.075949	0.963847
12.290595	0.904233	0.053333	0.941404
12.130929	0.960254	0.014286	0.970588
15.125201	0.905914	0.059459	0.95398
14.028452	0.901922	0.04142	0.95324
18.073296	0.89316	0.032864	0.967888
20.084377	0.960174	0.037657	0.973224
25.24096	0.812473	0.139466	0.930045
14.878274	0.916857	0.076087	0.942751
19.737747	0.845661	0.110236	0.896006
14.695	0.930841	0.082873	0.953774
21.095655	0.774205	0.226837	0.867257
15.766424	0.796392	0.09901	0.910431
